"City","Country","Cost of Living Index","Rent Index","Cost of Living Plus Rent Index","Groceries Index","Restaurant Price Index","Local Purchasing Power Index","Milk (regular), (1 liter)","Monthly Pass (Regular Price)","Apartment (1 bedroom) in City Centre","Internet (10 Mbps, Unlimited Data, Cable/ADSL)","Cappuccino (regular)","Water (0.33 liter bottle)","Eggs (12)","Water (1.5 liter bottle)","Domestic Beer (0.5 liter bottle)","One-way Ticket (Local Transport)","Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment","Cinema, International Release, 1 Seat","Apples (1kg)"
"London","United Kingdom",85.11,77.31,81.44,61.25,94.63,87.57,1.19,170.38,2204.64,32.13,3.42,1.24,2.84,1.21,2.08,3.28,197.05,15.73,2.48
"Dublin","Ireland",82.25,50.65,67.37,66.17,87.55,106.56,1.1,133.91,1396.25,46.26,3.17,1.42,2.95,1.44,2.68,3.01,177.65,12,2.18
"Paris","France",84.34,45.94,66.26,78.45,83.85,100.24,1.3,78.12,1200.7,30.77,3.94,2.43,3.61,0.86,1.99,2.01,198.32,11.16,2.85
"Rome","Italy",71.79,38.7,56.21,60.38,77,82.5,1.51,39.06,1086.19,30.86,1.23,0.98,3.08,0.69,1.34,1.67,164.67,8.93,1.9
"Amsterdam","Netherlands",79.9,50.82,66.21,63.04,87.52,105.97,1.07,90.95,1464.35,34.92,3.08,2.16,2.86,1.19,1.18,3.24,156.54,12.28,2.75
"Berlin","Germany",65.68,27.97,47.92,52.12,57.43,122.4,0.77,89.28,755.92,26.73,2.67,1.56,2,0.49,0.92,3.01,248.84,11.16,2.09
"Athens","Greece",58.75,12.24,36.85,45.43,64.36,56.39,1.37,33.48,294.16,22.66,3.24,0.56,3.46,1.05,1.38,1.56,167.14,8.37,1.51
"Brussels","Belgium",77.13,32.58,56.15,66.25,86.92,107.5,1.19,54.68,862.96,43.38,3.06,1.94,3.15,1.1,1.39,2.34,147,11.16,1.8
"Madrid","Spain",61.48,28.83,46.11,48.78,63.21,89.26,0.94,60.93,827.69,37.57,1.92,1.35,1.84,0.77,0.95,1.67,156.24,10.04,1.89
"Prague","Czech Republic",43.85,19.47,32.37,36.83,32.96,83.04,0.77,22.71,582.15,17.37,1.86,0.87,1.52,0.56,0.66,0.99,158.12,7.02,1.21
"Warsaw","Poland",41.15,19.34,30.88,31.76,35.19,80.18,0.65,28.17,545.08,11.44,2.19,0.76,1.95,0.51,0.82,1.13,159.91,6.66,0.72
"Tokyo","Japan",89.74,43.44,67.94,94.03,55.66,98.09,1.71,83.9,1095.29,33.45,3.54,0.97,2.16,1.54,2.44,1.69,153.19,16.09,7.02
"Sydney","Australia",85.51,64.78,75.75,77,73.17,120.51,1.3,120.38,1876.53,51.18,2.82,1.93,3.6,2.01,4.05,3.01,132.01,15.05,2.99
"New York","NY",100,100,100,100,100,100,1.07,116.5,2914.45,52.38,4.24,1.72,3.67,1.98,2.12,2.75,127.4,15,5.72
"Buenos Aires","Argentina",58.25,16.83,38.75,46.73,58.47,59.82,1.2,21.24,438.68,37.91,2.8,1.24,2.05,1.22,1.87,0.43,103.66,8.98,2.31
"Vancouver","Canada",70.54,45.13,58.58,73.37,66.45,101.38,1.87,70.34,1196.05,44.63,3.1,1.36,3.13,1.77,2.87,2.1,54.8,9.98,3.08
