"year","Year_since_1979","Extent","Mean_temp_anomaly","Mean_global_temperature"
1979,0,7.22,"0.17","14.970000"
1980,1,7.86,"0.28","15.080000"
1981,2,7.25,"0.33","15.130000"
1982,3,7.45,"0.13","14.930000"
1983,4,7.54,"0.31","15.110000"
1984,5,7.11,"0.16","14.960000"
1985,6,6.93,"0.12","14.920000"
1986,7,7.55,"0.19","14.990000"
1987,8,7.51,"0.34","15.140000"
1988,9,7.53,"0.40","15.200000"
1989,10,7.08,"0.29","15.090000"
1990,11,6.27,"0.44","15.240000"
1991,12,6.59,"0.42","15.220000"
1992,13,7.59,"0.23","15.030000"
1993,14,6.54,"0.24","15.040000"
1994,15,7.24,"0.32","15.120000"
1995,16,6.18,"0.46","15.260000"
1996,17,7.91,"0.34","15.140000"
1997,18,6.78,"0.47","15.270000"
1998,19,6.62,"0.63","15.430000"
1999,20,6.29,"0.42","15.220000"
2000,21,6.36,"0.42","15.220000"
2001,22,6.78,"0.54","15.340000"
2002,23,5.98,"0.63","15.430000"
2003,24,6.18,"0.62","15.420000"
2004,25,6.08,"0.54","15.340000"
2005,26,5.59,"0.69","15.490000"
2006,27,5.95,"0.63","15.430000"
2007,28,4.32,"0.66","15.460000"
2008,29,4.73,"0.53","15.330000"
2009,30,5.39,"0.64","15.440000"
2010,31,4.93,"0.72","15.520000"
2011,32,4.63,"0.60","15.400000"
2012,33,3.63,"0.63","15.430000"
2013,34,5.35,"0.65","15.450000"
2014,35,5.29,"0.74","15.540000"
2015,36,4.68,"0.87","15.670000"
2016,37,4.72,"NA","NA"
