"Biomass","Sprouts","Salinity","Temperature","Pct.Germinated"
12.27,38,0,36,0.95
12.8,24,0,36,0.6
10.43,10,0,36,0.25
11.8,16,4,36,0.4
11.89,19,4,36,0.475
10.56,22,4,36,0.55
10.02,4,8,36,0.1
7.5,5,8,36,0.125
10.68,9,8,36,0.225
7.66,4,12,36,0.1
8.6,3,12,36,0.075
8.57,3,12,36,0.075
12.13,23,0,34,0.575
12.36,29,0,34,0.725
10.48,21,0,34,0.525
10.72,13,4,34,0.325
10.64,18,4,34,0.45
10,13,4,34,0.325
10.62,10,8,34,0.25
8.94,8,8,34,0.2
9.43,6,8,34,0.15
9.66,5,12,34,0.125
8.99,4,12,34,0.1
8.36,3,12,34,0.075
8.24,23,0,32,0.575
9.48,31,0,32,0.775
8.61,15,0,32,0.375
8.96,23,4,32,0.575
8.27,21,4,32,0.525
8.63,15,4,32,0.375
8.49,13,8,32,0.325
8.04,17,8,32,0.425
7.17,11,8,32,0.275
7.44,9,12,32,0.225
7.17,4,12,32,0.1
7.06,5,12,32,0.125
