"Name","Country","Time"
"Kim Boutin","Canada",43.634
"Natalia Maliszewska","Poland",43.725
"Lana Gehring","United States",43.825
"Lucia Peretti","Italy",43.994
"Arianna Fontana","Italy",43.214
"Andrea Keszler","Hungary",43.274
"Kathryn Thomson","Great Britain",61.029
"Sofia Prosvirnova","Olympic Athletes from Russia",43.376
"Yara van Kerkhof","Netherlands",43.43
"Bianca Walter","Germany",43.541
"Sumire Kikuchi","Japan",44.838
"Elise Christie","Great Britain",42.872
"Qu Chunyu","China",42.971
"Shim Suk-hee","South Korea",43.048
"Veronique Pierron","France",43.148
"Fan Kexin","China",43.35
"Maame Biney","United States",43.665
"Kim A-lang","South Korea",43.724
"Anastassiya Krestova","Kazakhstan",43.821
"Martina Valcepina","Italy",43.698
"Han Yutong","China",43.719
"Tifany Huot-Marchand","France",44.659
"Marianne St-Gelais","Canada",43.437
"Anna Seidel","Germany",43.742
"Lara van Ruijven","Netherlands",43.771
"Magdalena Warakomska","Poland",44.311
"Choi Min-jeong","South Korea",42.87
"Petra J‡szap‡ti","Hungary",55.67
"Emina Malagich","Olympic Athletes from Russia",56.83
